################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.9306822502695594E-02 a       181     0     8     1     6
  5.8854907708540860E-01 a       182     0     8     1     7
  3.8956690182635517E-01 a       183     0     8     1     8
  1.2968391816416860E-01 a       184     0     8     1     9
  2.6611294003749691E-01 a       185     0     8     1    10
 -2.0967297038634347E-01 a       186     0     8     1    11
 -1.2003119824988188E-01 a       187     0     8     1    12
  1.1556828420462227E-01 a       188     0     8     1    13
 -2.3071030515596883E-01 a       189     0     8     1    14
 -1.0353237180134002E-01 a       190     0     8     1    15
  1.4925173659990987E-01 a       191     0     8     1    16
  1.7030149150951024E-01 a       192     0     8     1    17
 -3.3310285168851916E-01 a       193     0     8     1    18
  5.6588283622159952E-02 a       194     0     8     1    19
 -2.8773289968137637E-02 a       195     0     8     1    20
  7.8251464378050251E-02 a       196     0     8     1    21
 -5.9004928201787828E-03 a       197     0     8     1    22
 -8.6004539668317712E-02 a       198     0     8     1    23
  1.8703650766748198E-01 a       199     0     8     1    24
  1.6575764731833399E-02 a       200     0     8     1    25
  3.1777502315925671E-01 a       201     0     9     1     1
  4.6129160752752030E-02 a       202     0     9     1     2
  6.9298287066636571E-02 a       203     0     9     1     3
 -2.1768719666592398E-01 a       204     0     9     1     4
  6.1947247437264555E-02 a       205     0     9     1     5
 -3.2577974967619416E-01 a       206     0     9     1     6
 -7.4036128678133306E-01 a       207     0     9     1     7
  3.9818860976845133E-01 a       208     0     9     1     8
 -2.3261522320842865E-01 a       209     0     9     1     9
 -8.0536695397974284E-02 a       210     0     9     1    10
  1.2451010569534934E-01 a       211     0     9     1    11
 -1.4792273728360020E-01 a       212     0     9     1    12
 -3.6356240013066993E-01 a       213     0     9     1    13
  3.5960613447058337E-01 a       214     0     9     1    14
  1.5191065078784330E-01 a       215     0     9     1    15
 -1.0362084715253202E-01 a       216     0     9     1    16
  3.7694702426230797E-02 a       217     0     9     1    17
  4.1889167866579924E-02 a       218     0     9     1    18
  3.5276310202444025E-02 a       219     0     9     1    19
 -1.6081294758878625E-01 a       220     0     9     1    20
  4.5182003968468949E-02 a       221     0     9     1    21
 -4.0644267836153780E-01 a       222     0     9     1    22
  1.0207401989287146E-01 a       223     0     9     1    23
  2.4050139684906019E-02 a       224     0     9     1    24
  2.7984207381346099E-01 a       225     0     9     1    25
  6.6807102158309623E-02 a       226     0    10     1     1
 -7.1999177688891636E-02 a       227     0    10     1     2
  1.0057384503142112E-01 a       228     0    10     1     3
  1.1892207546478785E-01 a       229     0    10     1     4
  2.4875155388304815E-01 a       230     0    10     1     5
  4.3109548275247067E-01 a       231     0    10     1     6
 -3.0122221910746211E-01 a       232     0    10     1     7
 -2.5591591505321878E-02 a       233     0    10     1     8
  5.6404947937619077E-02 a       234     0    10     1     9
  1.7151820545075885E-01 a       235     0    10     1    10
  1.1321867056932194E-02 a       236     0    10     1    11
 -9.9969850749402747E-05 a       237     0    10     1    12
 -1.3191858662217393E-01 a       238     0    10     1    13
 -1.5552096743268295E-01 a       239     0    10     1    14
 -2.1908626689982938E-01 a       240     0    10     1    15
 -1.2542656631576515E-01 a       241     0    10     1    16
 -8.8823764216423851E-02 a       242     0    10     1    17
  2.1308532020891988E-01 a       243     0    10     1    18
  7.6233915087824483E-02 a       244     0    10     1    19
  3.3955542794471660E-01 a       245     0    10     1    20
 -2.7246342645449478E-01 a       246     0    10     1    21
 -1.5157837830650178E-01 a       247     0    10     1    22
  2.6125377767443397E-01 a       248     0    10     1    23
 -1.3018973268922671E-01 a       249     0    10     1    24
 -6.2855855756549547E-02 a       250     0    10     1    25
 -4.2652551124443472E-01 a       251     0    11     1     1
 -1.2930479286961619E-01 a       252     0    11     1     2
  7.2880497475199292E-03 a       253     0    11     1     3
  1.2010554613683033E-01 a       254     0    11     1     4
 -9.8907892433894001E-02 a       255     0    11     1     5
 -1.1264467244126662E-01 a       256     0    11     1     6
 -1.8994554917733536E-01 a       257     0    11     1     7
 -4.1509063994963602E-01 a       258     0    11     1     8
  1.4973031885526311E-01 a       259     0    11     1     9
