################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         18   9.3674092802263729E-05   2.0899626403046642E-03   6.2480804252896876E-04   2.5092899009754972E-04
         2         19   9.4397688882744538E-02   3.1852488154025077E-01   1.9022151402788526E-01   2.6594142067981993E-02
         2         20   4.2462786174256185E-03   2.0906090142624279E-02   9.8203211867620224E-03   2.0463242806762990E-03
         2         21   8.0489558980127145E-03   5.3318158466138410E-02   2.9760517754368308E-02   5.0572361858249289E-03
         2         22   2.6658774032555701E-02   1.3288908782467643E-01   7.0749360257979121E-02   1.2498418527007480E-02
         2         23   2.1729105402960979E-02   8.2541111040838389E-02   4.7879188475146300E-02   6.7859075185805655E-03
         2         24   1.3150064927227518E-03   1.4784120079625370E-02   6.0781179309204259E-03   1.6943739618754748E-03
         2         25   3.0287139523310426E-05   8.5783298457263403E-04   2.1885544820390740E-04   9.4521230408131754E-05
         2         26   1.6638001066574912E-02   9.5659676893371778E-02   4.8501715150227817E-02   8.8742654847653417E-03
         2         27   1.1429533795335239E-02   6.5636079359073354E-02   3.3232586420011506E-02   7.3938188694728981E-03
         2         28   1.0761373577135793E-04   2.3461510711166931E-03   6.2384368443450799E-04   2.4140084082758989E-04
         2         29   1.0153237406585363E-02   2.3962345764674108E-02   1.6457230862691161E-02   1.7944714729430434E-03
         2         30   4.7003651613431912E-03   2.1237996716090612E-02   1.1689766072662077E-02   1.9326223207209322E-03
